title,abstract,author,year,program,institution,firstname_lastname,institution_fullname
Do microaggressions influence cognitive performance of racial minorities?,"Within the university setting, students from marginalized groups may be more likely to experience microaggressions and associated harmful effects than their White counterparts. This study investigated whether experiencing a racial microaggression hinders performance on a cognitive task among racialized students. Undergraduate students (n = 256) completed a demographic survey and then were randomly assigned to a racial microaggression or control condition in which they watched a video explaining a cognitive task (i.e., mental rotation), completed a mental rotation task, and completed ethnic identification, discomfort, and perceived discrimination measures. Racialized students had higher ethnic identification levels than White students. Further, students in the racial microaggression condition had increased discomfort and were more likely to perceive discrimination. Neither mental rotation task reaction time nor accuracy was affected by experiencing a microaggression. This study demonstrates that microaggressions within the classroom are perceived by students and have the potential to impact student well-being.","Adedun, Ayomide Danielle.",2024,MSc,Regina,Ayomide Adedun,University of Regina
Effect of Textured Insoles on Gait Variability During Continous Overground Walking in Older Adult Fallers and Non-Fallers.,"Falls represents one of the leading causes of injury and mortality in older adults. There is a need amongst gait clinicians and researchers to develop better methods to analyze fall risk. In addition to the calculation of mean spatiotemporal gait parameters, gait variability and the fractal scaling index (FSI) have been suggested to be sensitive markers of previous falls and predictive of future fall risk in older adults. Gait variability and the FSI of gait require hundreds of strides for valid analysis, which requires specific technology such as accelerometers to capture such large data sets. In addition to developing more sensitive measures to quantify fall risk, it is imperative to develop interventions that will reduce or prevent falls in older adults. Textured insoles are a recent intervention method that have been suggested to improve proprioceptive acuity in older adults, and as such are postulated to reduce and prevent falls. The purpose of this study was to determine the immediate (i.e., the acute) effect of textured insoles on step- and stride time variability, along with the FSI of stride time during continuous overground walking in older adult fallers and to compare these results to a healthy group of older adult non-fallers. Group differences were found with respect to mean step- and stride time. No significant differences were found for step- and stride time variability along with the FSI of gait. An interaction effect revealed that the textured insoles altered the mean spatiotemporal gait values differently between groups. As a result, this thesis demonstrates that a history of falls does appear to increase mean stepand stride time, and that textured insoles resulted in an increased step- and stride time with a greater change experienced in the older adult fallers. Keywords: textured insoles, gait variability, fractal scaling index (FSI), accelerometry, falls.","Ruf, Sarah Michelle.",2022,MSc,Regina,Sarah Ruf,University of Regina
Effectiveness of Saskatchewan Government Insurance 2014 Traffic Safety Initiatives on Reducing Casualties.,"Before 2014, Saskatchewan experienced a very high number of traffic collisions that resulted in higher deaths and injuries to drivers, passengers, and pedestrians. The year 2012 marked an especially tragic year with 183 people killed in traffic collisions in Saskatchewan, a significant increase compared to the previous three-year, considerable the prior three-year average of 158 could not normal typical as a result of the worsening state of road safety in Saskatchewan. A Special Committee on Traffic Safety was formed to enhance road safety by examining the dominant factors that cause traffic collisions in the province: impaired driving, distracted driving, excessive speed, intersection safety, and wildlife collisions. The Committee was also charged to make recommendations highlighting education and public awareness issues related to traffic safety. In 2013, the Special Committee on Traffic Safety made a list of recommendations, including stricter penalties for impaired driving, photo speed enforcement, expanding and enhancing traffic enforcement, and introducing new measures to deal with distracted driving and speeding. In 2014, Saskatchewan Government Insurance (SGI), acting on these recommendations, launched several initiatives introduced and introduced two new law enforcement units, with a total of 60 police officers dedicated to traffic safety enforcement. This research work examined the before and after effect of the initiative's effectiveness by SGI in 2014. Relevant data were extracted collected from the SGI's Traffic Accident Information System (TAIS) and through a bi-annual Traffic Safety Monitor (TSM) survey. Socio-economic variables used in the analyses were from Statistics Canada. The analyses were carried out using statistical tools such as SAS Programming and RStudio. Na¨ıve Simple before and after technique was first used to analyze the data, after which Intervention Analysis was used for a more robust result. In conducting the intervention analysis, Negative Binomial (NB) and Generalized Estimating Equation (GEE) were used to analyze the data variables. In the end, this research identified the most effective initiative and recommended how the initiatives could be improved to obtain maximum efficiency in safety as targeted. The Simple Before and After analysis returned a very high reduction of about 40% in traffic casualties. Intervention Analysis, which took into consideration several covariates, confirmed the existence of reductions in collision casualties but with a smaller percentage change of 20%. It can be inferred from these two analytical approaches that the initiatives introduced by SGI in 2014 have has positive impacts on traffic safety in the province.","Ajayi, Peter Olalekan.",2022,MSc,Regina,Peter Ajayi,University of Regina
Enriched model categories and the Dold-Kan correspondence.,"The work we present in this thesis is an application of the monoidal properties of the Dold-Kan correspondence and is constituted of two main parts. In the first one, we observe that by a theorem of Christensen and Hovey, the category of nonnegatively graded chain complexes of left R-modules has a model structure, called the Hurewicz model structure, where the weak equivalences are the chain homotopy equivalences. Hence, the Dold-Kan correspondence induces a model structure on the category of simplicial left R-modules and some properties, notably it is monoidal. In the second part, we observe that changing the enrichment of an enriched, tensored and cotensored category along the Dold-Kan correspondence does not preserve the tensoring nor the cotensoring. Thus, we generalize this observation to any weak monoidal Quillen adjunction and we give an insight of which properties are preserved and which are weakened after changing the enrichment of an enriched model category along a right weak monoidal Quillen adjoint.","Ngopnang Ngompe, Arnaud.",2024,PhD,Regina,Arnaud Ngopnang Ngompe,University of Regina
Entanglements of Pediatric Pain Practices in an Acute Care Setting: Critical Participatory Action Research with Student Co-Researchers in an Interprofessional Education Context.,"Children's pain continues to be undertreated despite extensive research over the past five decades and this has ethical implications for practice. In this inquiry, I examine pediatric pain practices in my local health region through critical participatory action research (CPAR) with eight student co-researchers. CPAR is aligned with a clinical interprofessional education (IPE) experience in pediatric pain where students from medicine, nursing and psychology had varying degrees of involvement. As a facultystudent research team we explored the perspectives of 226 participants (children, parents, students, and health care professionals) on pediatric pain management. Data was gathered through interviews, focus groups and questionnaires. All participant groups identified the need for improvement in pediatric pain management. Several barriers were identified and suggestions were made for change. In the presentation of findings, data are entangled with critical theory, post-structuralism (genealogy) and post qualitative concepts (diffraction, rhizoanalysis). Vignettes of children in pain are presented using long quotes and raw data. This inquiry demonstrates the benefits of CPAR in creating awareness about pediatric pain and seeking local recommendations for change, as well as the benefits of combining CPAR with a student clinical IPE experience. Co-researcher discussions illuminate emotions experienced when witnessing the undertreatment of children's pain and struggles with power when attempting to advocate. Co-researchers describe the benefits of participating in CPAR including learning about pediatric pain, opportunities for interprofessional collaboration (IPC) and implementation of action items. Identified challenges include blurring of student-researcher roles, student power imbalances and ethical issues with participation. Recommendations include further examination of student-faculty research partnerships, examination of student ethical distress in pediatric clinical settings, exploration of opportunities for patient-studentfaculty research partnerships, and engagement with the realism of post qualitative inquiry.","Juckes, Karen Louise.",2022,PhD,Regina,Karen Juckes,University of Regina
Exploring Chinese instructors' perceptions and practices of integrating culture into tertiary-level English education: A case study.,"Pedagogical conceptualization of culture influences, in significant ways, how language instructors identify cultural points, contextualize culture for pedagogical purposes, and scaffold student meaning-making. Although this issue is at the core of intercultural pedagogy, literature suggests it remains insufficiently investigated. As a meaning-based and process-oriented study, this research aimed to develop an in-depth understanding of participants' collective ways of conceptualizing culture within English language teaching (ELT), delineate the most salient features of their classroom meaning-making, and reveal the contextual factors that shaped the local perceptions and practices. This case study employed a qualitative research approach and explored twelve participants' perceptions and practices of integrating culture into ELT in a higher educational institution in China. Data were collected through one-on-one semi-structured interviews, non-participant classroom observations, and documentation. The findings of the study revealed that the participants conceived culture more as a noun with its referential meaning ready to be transmitted to the learner in form of objective knowledge than as a verb (Street, 1991) with its meaning to be explored and interpreted in dynamic social interactions. Further, they perceived culture more as social constraints in form of cultural norms that demanded conformity than as public resources that could be drawn on strategically and creatively to serve purposes. In addition, they viewed culture more as value-free that could be grasped at the denotative level than as value-laden with its barely known face hidden under the veil of cultural myth (Barthes, 1957). In terms of participants' general approach to culture in-ELT, they tended to contextualize culture in self-sanctioned 'purified' ways. There was a general resistance towards problematizing cultural meaning and engaging learners in 'struggles over meaning' (Kubota, 1999, p. 30). The participants were usually at the center of classroom meaning-making and monologic meaning-making featured most classrooms observed. Overall, Classroom discourses did not enact a dialogic stance nor were they oriented towards engendering productive meaning-making and developing agentive cultural competence. The contextual conditions that influenced participants' perceptions and practices included participants' low theoretical literacy level, insufficient in-service education opportunities, sanitized culture-related textbook contents, and the burning issues resulted from the changing ideological landscape in China. The study concluded that the meaning-making potentials of the current culture instruction could be expanded through exploring poststructuralist perspectives on culture and reorienting culture pedagogies towards individual-level culture, problematized cultural meanings, and more agentive cultural competence. The implications of the study for policy, practice, theory development and further research, as well as the recommendations arising from it, were discussed.","Liu, Yueming.",2022,PhD,Regina,Yueming Liu,University of Regina
Exploring the impact of limited information in active Bayesian learning.,"We tackle the problem of Noisy Bayesian Active Learning in a limited information setting. Originally explored by Cecchi and Hegde1 , this problem involves a Bayesian learner that sequentially selects oracles to determine the true class label of an incoming object, with the goal of minimizing the number of samples while maintaining a low error probability. The oracle's response is not a direct class label but a cluster label that is corrupted by noise. Additionally, the learner is only given an estimate of the true quality of those responses. We extend Cecchi and Hegde's framework to a more general scenario, where each oracle partitions the set of all possible class labels in its own unique way and provides a non-binary cluster label when selected. The learner has at its disposal a quality estimate for each predicted cluster label. We investigate the learner's performance under this limited information setting. During our study, we identi ed some oversights in the proofs of the lower and upper bounds on the sample size proposed by Cecchi and Hegde. Our contribution includes highlighting how these oversights necessitate a reassessment of the validity of both bounds.","Irani, Mercedeh.",2024,MSc,Regina,Mercedeh Irani,University of Regina
Extensions of the Erdős-Ko-Rado Theorem to Perfect Matchings.,"One of the important results in extremal set theory is the Erdős-Ko-Rado (EKR) theorem which gives a tight upper bound on the size of intersecting sets. The focus of this thesis is on extensions of the EKR theorem to perfect matchings and uniform set partitions. Two perfect matchings are said to be t-intersecting if they have at least t edges in common. In 2017, Godsil and Meagher algebraically proved the EKR theorem for intersecting perfect matchings on the complete graph with 2k vertices. In 2017, Lindzey presented an asymptotic refinement of the EKR theorem on perfect matchings. In this thesis, we extend their results to 2-intersecting and also to set-wise 2-intersecting perfect matchings. These results are not asymptotic. A perfect matching is in fact a special case of a uniform set partition. Another focus of this thesis is on partially 2-intersecting uniform set partitions. We find the largest set of 2-intersecting uniform set partitions, when the number of parts is sufficiently large. The result on uniform set partitions is part of a joint research project with Karen Meagher and Brett Stevens.","Nasrollahi Shirazi, Mahsa.",2022,PhD,Regina,Mahsa Nasrollahi Shirazi,University of Regina
Fabrication of microcapsules embedding phase change materials (PCMS) via needle-based microfluidic system: An innovative approach to produce microparticles applicable in enhanced oil recovery.,"Chemical flooding including polymer flooding has been proved to benefit the oil recovery by decrease the mobility ratio of the flooding mechanism. However, their performance is hardly comparable to the thermal methods. This study is intended to propose and synthesize a polymeric micro-size particles carrying inside a latent heat thermal energy storage (LHTES) material. The applied phase change material (PCM) supplies the thermal energy of the polymer microcapsules. This study stepped into synthesizing such novel materials in EOR. Microfluid systems were utilized in encapsuling a PCM substance in a polymer matrix. Two diverse systems of PMMA microsystem and needle-based microfluidics were tried in order to find the most effective one in feasibility of production and reusability point of view. The needle-based microsystem has conveniently accomplished formation of highly monodispersed microdroplets comparing to PMMA systems that could not the fulfilled the set goals. Two needle-based microsystems were resulted in formation of two groups (group 1 and 2) of microparticle with the average dimeter of 893 and 492 μm. A descending trend was traced in particle size with increasing the PCM flow rate for both groups. Various characterization tests were conducted on microcapsules to investigate their chemical, structural, morphological, and thermal features. It was seen that silicone microparticles were taking advantage of a noticeable thermal expansion while, no chemical reaction was detected between microcapsules components. Scanning electron microscopy (SEM) results showed that microcapsules possessed a robust and smooth surface with the least deficiency and no interconnected pores inside the particle shell. Differential scanning calorimetry (DSC) analysis displayed that the encapsulation of N-Octadecane widened the phase transition temperature comparing to the pure N-Octadecane. The maximum enthalpy measured 15.5 and 18.6 J/g for highly thermal resistant samples of group 1 and 2, respectively. The performance of microencapsulation on two new PCMs, n-Eicosane and Docosane was studied. Furthermore, silica nanoparticle was mixed to the shell material to comprehend their impact on microcapsules features. Microscopic and FTIR characterization tests respectively showed that microparticles had a good monodispersity with the existence of characteristic peaks of n-Eicosane and Docosane in the microcapsules' IR spectrum. The major peaks of silica nanoparticle overlapped with silicone polymer. DSC analysis on these PCMs microcapsules showed the shift of transition temperatures to lower temperatures comparing to the corresponding pure PCM due to the dispersion of PCM inside the polymer structure while the presence of silica nanoparticle intensified this reduction. The thermal study of microcapsules with high thermal stability illustrated that EC-2 and DC-Si possessed the highest enthalpy of 64.7 and 40.8 J/g among fabricated PCMs microcapsules and microcapsules with nanoparticle, respectively. Ultimately, N-Octadecane microcapsules (OD-1) was implemented for enhancing oil recovery in a flooding process inside a glass micromodel. The experiments of pure waterflooding and microcapsules flooding were carried out at four different temperatures 17, 25, 27, 30˚C to evaluate their performance with flooding process. The results depicted that microcapsules flooding had the remarkable performance relative to pure waterflooding at all operating temperatures by providing their stored energy and stabilizing the temperature in the range of peak-offset transition temperature of OD-1 (18.2-21.4˚C) microcapsules. Microcapsules flooding at 25 ˚C presented better oil recovery performance all through the test with 21.5% and 25.8% recovery at the middle and end of the process, respectively. Whereas, microcapsules flooding at 27 ˚C recorded the best final oil recovery of 28.1%.","Kamali, Marziyeh.",2022,PhD,Regina,Marziyeh Kamali,University of Regina
Feature extraction and descriptor based on Fourier transform of local images.,"Image feature descriptors are the foundation of pattern recognition and computer vision. With the rapid development of artificial intelligence technology, the Fourier transform is successfully used in speech recognition. For 2D images, a Fourier de-scriptor has been developed [52] to represent the contour of an image region, but feature extraction of interior image content still so far uses mostly the traditional method, e.g. encoding vector [38]. Its application in image analysis is relatively limited so far, which has a great potential, particularly in the field of object detection and recognition. Based on the idea of Fourier transform in speech recognition, this thesis extends the idea of de-convolution from Probing Detector [21] to explore the feature extraction using Fourier transform in local images. This thesis proposes a new image feature descriptor with invariant properties in the frequency domain. The modified probing detector is designed for extracting Fourier coefficients on the two-dimensional Fourier spectrum of local and global images. It uses magnitude, phase angle, and distance from the origin of the extracted Fourier coefficients to establish descriptor vectors that satisfy translation, rotation, scale, brightness invariance and robust to noise. Moreover, the radial, sector and quadrant vectors are established by the distribution of the extracted Fourier coefficients on the Fourier spectrum and the method of encoding vector. In this thesis, the above con- tents are systematically analyzed in depth. The new feature descriptor is applied to images from a mammogram database. The preliminary experimental results are very encouraging. This method can be potentially applied to image fusion, compression, information encryption, object detection, and integrated with other techniques.","Han, Peizhi.",2022,MSc,Regina,Peizhi Han,University of Regina
Feistel network-based prefix-preserving network trace anonymization.,"Network traces represent a critical piece of data for the network security analysts to ensure the security of the data and detecting/correcting network issues. Due to lack of expertise, companies are forced to outsource their network traces to third parties to perform analytics on the traces and provide security feedbacks and recommendations. In fact, outsourcing network traces to third party analysts for monitoring and analytics is a common service requested by companies. However, these companies are reluctant to share their network traces, as they comprise sensitive information (e.g., IP addresses), which may be exploited for attacks. Therefore, such sensitive information needs to be hidden before outsourcing the network traces. Network trace anonymization is a solution that provides the privacy of the data and preserving its utility. The latter is important for the analytics, that is, the data needs to be anonymized (some information are changed), in such a way the essence of the data remains valid. Otherwise, the analytics provided by third party analysts cannot reflect the actual state of the network. Existing solutions, such as CryptoPAN, preserves the data utility (by preserving the IP prefixes), but are vulnerable to semantic attacks. In this thesis, we propose an anonymization solution, which is based on the Feistel network and preserves the data privacy and utility at the same time. Besides, the proposed solution requires less computation and resources, since it is based on the Feistel network that guarantees the anonymization and de-anonymization with the same architecture. The Feistel network is widely used in cryptography because of its flexible structure. Thus, in this thesis, we adapt it to perform both the anonymization and de-anonymization. We validate our solution using Kddcup99 dataset, from which distinct IP addresses have been filtered to better measure the data leakage (dual of privacy) provided by our solution. The obtained results show that the proposed solution provides consistent results throughout the different traces under the same experimental parameters. We evaluate the security of our solution using the avalanche property, which is widely used to measure the security of encryption systems. Moreover, the efficacy of our solution is evaluated against Injection attacks. Overall, the obtained results, avalanche property and resistance to Injection attacks, are appealing.","Dandyan, Shaveta.",2022,MSc,Regina,Shaveta Dandyan,University of Regina
Further Study of Some Iterative Methods for the Matrix Pth Root.,"In this thesis, we solve some problems arising in the study of some iterative methods for finding the principal pth root of a matrix. Our main interest is in Newton's method, Halley's method and Chebyshev's method. We also study Schroder's method (which includes Newton's method and Chebyshev's method as special cases). The study of these methods for the matrix case can be reduced to the study in the scalar case. Some theoretical properties of the iterative methods can be obtained by examining the Taylor series expansion of the iterates. It has been observed by Guo that the Taylor coefficients have a favorable sign pattern for Newton's method and Halley's method, and that some nice theoretical results can be proved after the conjectured sign pattern is confirmed. In this thesis, we are going to prove this conjecture raised by Guo. The key idea of the proof is to establish a monotonicity property for the coefficients as the iteration progresses. Using this idea, we prove the sign pattern of Newton's method and Halley's method without too much difficulty. We then move on to prove a similar sign pattern for Schroder's method. The proof is much more complicated, but the basic strategy remains the same. After we have confirmed the sign pattern of Taylor coefficients for Newton's method, Halley's method and Schroder's method, we present some related results for the matrix case. In this thesis, we also establish a convergence region for Newton's method that is much larger than previously available ones.","Lu, Di.",2022,PhD,Regina,Di Lu,University of Regina
Generalized fiducial inference on the means of zero-inflated Binomial and Binomial hurdle models.,"The zero-inflated binomial and binomial hurdle models are two models to address the problem of excess zeros for proportional data. Both model structures are similar, which are composed of two distributions. A degenerate process is responsible for producing zeros, which are called structural zeros. The other distribution could be a binomial or zero truncated binomial distribution which depends on the type of model in this study. Zero-inflated binomial (ZIB) model involves the sampling zeros. On the other hand, binomial hurdle(BH) model address the structure zeros only in the zero-inflated part, which is a difference between the two models. Generalized fiducial inference is a popular statistics analysis which is independent of frequentist school and Bayesian school. This method was first proposed by R.A. Fisher to challenge Bayesian school. The core idea is to switch the role of parameters and data, and to construct a distribution for parameters that contain all of the information of data. One significant advantage of generalized fiducial inference is that it does not rely on a prior distribution. In this research, the generalized fiducial inference is introduced to construct the confidence intervals for the means of zero-inflated binomial and binomial hurdle models and the formulation of confidence intervals are derived. A simulation will be conducted to test the performance of generalized fiducial inference on single parameters of ZIB model and BH model. Then the performance of generalized fiducial inference on the means of ZIB model and BH model will be tested through observing the coverage probability and mean width for the generalized confidence interval (GCI). We make a comparison between generalized confidence intervals and bootstrap confidence intervals. Two special cases of ZIB model and BH model are also considered. Generalized fiducial inference is also illustrated using the whitefly data. Through this data, we can test the performance of generalized fiducial inference under different numbers of trials and sample sizes. We construct generalized confidence intervals and bootstrap confidence intervals to show an excellent property of the generalized fiducial inference.","Li, Yihang.",2022,MSc,Regina,Yihang Li,University of Regina
Genetic interaction landscape of the Escherichia coli transcriptional factor machinery.,"In Bacteria, transcription factors (TFs) consist of sensory ligand-binding and DNA-binding helix-turn-helix (HTH) domains to respond to the environmental and internal stimuli. Although Escherichia coli is a well-studied model bacterium, yet half of its TFs' characteristics remain unclear, including 72 genes of unknown function. Using E. coli synthetic genetic array, a quantitative approach to scoring the fitness of single and double mutant genes, I was able to measure pairwise genetic interactions (GIs) among all TFs in rich and minimal media (RM and MM) to create a differential (DF) GI network. DF network analysis demonstrated GIs altered in RM or MM growth conditions. Both static and DF GI networks were also effective in detecting TF pathways, highlighting new roles for uncharacterized TFs (YjdC, YneJ, YdiP) as regulators of cell division, putrescine pathway and efflux pump, and cold shock adaptation, respectively. Pan-bacterial conservation suggests that TF genes with similar GI profiles are co-conserved in bacterial evolution. Moreover, the E. coli TF GI network provided deep insights on conserved genetic association across bacterial phyla that can be valuable to build TF machinery organization, even in pathogens.","Hosseinnia, Ali.",2022,PhD,Regina,Ali Hosseinnia,University of Regina
Geochemical analyses of amber associated with dinosaur bonebeds in central North America.,"For a long time, amber has been praised for its ability to preserve organic inclusions in spectacular detail. More recently amber has been analysed from a geochemical point of view, to gain a better understanding of the environments in which this fossilized tree resin was produced. Due to lack of fossils and detail in known paleo-environments three meters below the Cretaceous-Paleogene (K-Pg) boundary, amber geochemistry helps to fill in a gap of the fossil record. This study consists of the analysis of carbon and hydrogen stable isotopes from amber in bone beds, as well as Fourier Transform Infrared Spectroscopy (FTIR) and more traditional means of paleontological and sedimentological analysis from sites in Saskatchewan, Alberta, Montana, and North Dakota. The main aim is understanding how this geographic region of the world was changing during the Cretaceous period. Results indicate that Cretaceous ecosystems, during the last 15 million years of the Cretaceous, were relatively quite stable; however, the δ13C values leading up to the Cretaceous-Paleogene extinction boundary appear to show that many of the geographic region's resin producing plants were experiencing some form of ecophysiological stress. They also indicate that the Western Interior Seaway underwent transgressions and regressions throughout the Cretaceous and that it was still actively playing a part in the terrestrial ecosystem's precipitation up until the end of the Cretaceous period, although with varying degrees of influence. Finally, the data indicate that throughout the Cretaceous the main amber producing plants were trees from the Cupressaceae family. Using the geochemical information from amber along with the sedimentological and paleontological data from each of these sites, details of the environments leading up to the end Cretaceous extinction event can be constructed.","McWilliams, James Scott.",2024,MSc,Regina,James McWilliams,University of Regina
Geochemical and petrographic studies of accessory minerals in the Athabasca Basin: implications for unconformity-related uranium mineralization.,"The unconformity-related uranium (URU) deposits in the Athabasca Basin rank among the world's largest and highest-grade U deposits, many of which are also characterized by enrichment in rare earth elements (REE). The source of U and REE for the mineralization, whether from the basin or the basement, is a subject of scientific debate. This study focuses on the petrographic features and chemical compositions of detrital and diagenetic accessory minerals within the Athabasca Basin sandstones to evaluate the potential contributions of the sediments in the basin to the U and REE budget in the mineralization systems. Employing various analytical methods including petrographic microscopy, scanning electron microscope - energy dispersive spectroscopy (SEMEDS), SEM-cathodoluminescence (SEM-CL), Raman spectroscopy, TESCAN integrated mineral analyzer (TIMA) mapping, and laser ablation inductively coupled plasma mass spectrometry (LAICP- MS), this study identified the alteration patterns in U- and REE-rich minerals such as zircon, rutile, and anatase. Alteration patterns indicating depletion of U and REE were observed both at the mineral rims and deep within their cores, suggesting their release into basinal fluids during alteration. In contrast, minerals such as aluminum phosphate sulfate (APS) and iron oxide and/or hydroxide (IOH) demonstrate enrichment of U and REE, primarily in their outer rims, suggesting their potential roles as 'sink' minerals. Some altered zircon and anatase also show local U enrichment. Petrographic and geochemical analyses indicate that U and REE in detrital minerals have heterogeneous distribution patterns. Zircon shows a wide range of U concentrations (up to ~6000 ppm), with variable degrees of heavy rare earth elements (HREE) enrichment. The similarity in REE patterns between detrital zircon, and to a lesser extent the Ti-oxide, in the sandstone and uraninite in the URU ores suggests that detrital zircon and Ti-oxide in the Athabasca Basin may be a major contributor of REE, and by inference U, to the URU mineralization. APS STUDIES OF ACCESSORY MINERALS IN THE ATHABASCA BASIN G. HARMANCI minerals display the highest concentrations of REE (up to 10,000 ppm), also characterized by LREE enrichment, primarily around their rims. The IOH minerals also show LREE-enriched REE patterns. It is inferred that the APS and IOH minerals as well as diagenetic anatase acted as sink minerals that preferentially retained LREE and certain amounts of U that were leached from zircon and Ti-oxide. Mass balance calculations based on the data from this study and bulk sandstone compositions reported in the literature suggest that as much as approximately 88 million tonnes of U and 355 million tonnes of REE could be released from detrital zircon and Ti-oxide in the sandstone into the basinal fluids. These results suggest that detrital accessory minerals, especially zircon and Ti-oxide, in the sandstones may be a major source for U and REE in the URU deposits in the Athabasca Basin and that there is still great potential to discover more U and REE resources in the Athabasca Basin. Keywords: Athabasca Basin, accessory minerals, zircon, uranium, rare earth elements, REE, leaching, source of uranium, unconformity-related, URU.","Harmanci, Goktug.",2024,MSc,Regina,Goktug Harmanci,University of Regina
"Home range, nest-site, and perch selection of great horned owls (Bubo virginianus) in a human-modified grassland.","Temperate grasslands have undergone extensive anthropogenic alterations, contributing to an increased abundance of Great Horned Owls (Bubo virginianus) in these areas. Great Horned Owls now nest within remnants of native grasslands, where they exert predation pressure on at-risk species, such as the Greater Sage-grouse (Centrocercus urophasianus). My research aims to understand Great Horned Owl habitat selection to inform conservation efforts protecting vulnerable grassland species from owl predation by: (1) identifying key habitat features influencing nest site selection, (2) evaluating the impact of vegetation and anthropogenic structures on movement patterns and perch selection, and (3) providing tangible targets for habitat management to discourage Great Horned Owls from nesting and hunting in areas of conservation concern. In Chapter 2, I used community science and field surveys to identify 444 Great Horned Owl nests and compared them to available sites (n = 1898) within the grassland ecoregions of Saskatchewan, Canada. Logistic regression models compared land cover variables across three spatial scales (3 km², 9 km², and 17 km²) surrounding the nests and available locations. The abundance of trees, shrubs, power poles, wetlands and the length of flowing water (i.e., length of creeks, rivers and streams) significantly influenced Great Horned Owl nesting selection at all three spatial scales. Additionally, at the 3 km2, owls nested closer to roads and in areas with lower open land cover. A habitat suitability map was subsequently created based on these findings. In Chapter 3, I tracked the movements of 16 adult Great Horned Owls using satellite transmitters. Generalized Additive Mixed Effects Models were employed to compare vegetation and perch characteristics between high-use (n = 183) and low-use (n = 102) perches to those at and no-use locations (n = 112). Great Horned Owls selected perches based on the following factors: (1) perch height, with an optimal range of 5-10 m, (2) distance from the perch to the nest (high use: 395 m ± 639; low use: 1195 m ± 858), (3) surrounding vegetation height and density, with high use sites having taller, denser vegetation compared to no-use, and (4) the heterogeneity of bare ground, selecting areas with more varied bare ground. I also used Minimum Convex Polygons to measure core use areas and home range sizes, with males further analyzed based on habitat type. Males nesting in grassland-dominated areas had an average home range size of 12.35 km², nearly double that of owls nesting in cropland (6.69 km²), while core use areas were similar, 0.51 km² in grassland and 0.54 km² in cropland. In Chapter 4, I provided conservation recommendations to mitigate predation pressure from Great Horned Owls on at-risk grassland species. Habitat management should prioritize the removal of elevated structures, such as trees and abandoned buildings, within strategic distances from conservation areas. Specifically, to discourage nesting all suitable perches should be selectively eliminated within a 1-km radius of key sites such as grouse lekking areas, with further consideration for extending removal efforts to 1.7 km and 2.8 km radii. To discourage hunting in sensitive regions, perch removals should focus on areas within a 500 m radius of conservation zones, with additional thinning of perches up to 1.5 km and 3 km away. Efforts should target structures near water sources, roads, and human-disturbed areas while retaining shorter, denser shrubs to support prey species.","Hartley-Cox, Victoria Alexandra.",2024,MSc,Regina,Victoria Hartley-Cox,University of Regina
Influence of pore structure and fluid properties on the dynamics of foamy oil production: an experimental and numerical analysis.,"Cyclic Solvent Injection (CSI) stands out as one of the leading solvent-based post-CHOPS Enhanced Heavy Oil Recovery (EHOR) methods, celebrated for its energy efficiency, improved oil quality, and environmental benefits. Given the escalating concern over greenhouse gas emissions, exploring the use of CO2 in EHOR methods is crucial for mitigating the greenhouse effect. Studies have demonstrated that mixing CO2 with other solvents can enhance CSI performance by leveraging foamy oil flow as the primary driving force. Our state-of-the-art microfluidic systems, developed in-house, offer precise visualizations of the process, and enable controlled simulation of reservoir properties throughout experimental series. In this study, experiments were conducted on both porous and non-porous media to examine the influence of additives, solvent type, and pressure reduction rate on foamy oil production. Utilizing heavy oil from Canada, we conducted fundamental tests, including composition analysis, Constant Composition Expansion (CCE), and Differential Liberation (DL) tests, to characterize the oil and its gas-saturated live oil state. The solvents employed were CO2 and CH4, with CH4 chosen for its cost-effectiveness despite its lower performance compared to C3H8. However, a mix of CO2 and CH4, with added surfactants, yielded improved bubble generation and stability. The project focused on three primary input parameters: solvent type, surfactant concentration, and pressure reduction rate, with their ranges informed by prior research. Minitab software guided the experimental design, suggesting 15 tests on a bulk microfluidic model to observe the dynamics of live and foamy oil under varying pressures. The results of 15 tests highlighted two individual tests ii with superior stability and the lowest energy usage. In addition, optimal input parameters for reducing the oil in place and increasing production rate were identified using Minitab for further application. These optimal conditions were then tested on three different porous microfluidic models to assess the impact of porosity on foamy oil expansion, with porosities set at 31%, 35%, and 40%. The 31% porosity model exhibited the highest stability and expansion, indicating that lower porosity restricts bubble movement, hindering their coalescence and growth. Micro-analyses on bubble dynamics and movement were performed, followed by non-equilibrium reaction studies using CMOST to determine the impact of each parameter on oil production. Initial tuning for solvent type, surfactant concentration, and pressure reduction rate was conducted in CMOST, with subsequent adjustments for porosity and relative permeability. Numerical analysis of bulk phase expansion and three-porosity model results from experimental tests were utilized to derive tuning coefficients. A key novelty of this study is the derivation of non-equilibrium equations that incorporate variables such as pressure reduction rate, porosity, solvent type, and surfactant concentration in the foamy oil process. Finally, the optimized parameters for maximizing heavy oil expansion were implemented in a cylindrical sand pack model. Both simulation and experimental results from the sand pack test indicated that oil production became negligible at lower pressures during the pressure depletion test. The optimal oil production, achieving the highest benefit, was found to reach 37% of the initial oil in place using the pressure depletion technique.","Sabeti, Morteza.",2024,PhD,Regina,Morteza Sabeti,University of Regina
